iter,noise,n_samples,model,r2
2,5,2810,XGB,0.04777098185291695
2,5,3010,CPF,0.17902653074052877
2,5,3010,RF,0.16806286204832177
2,5,3010,LR,0.21084648059859856
2,5,3010,XGB,0.046385391296730916
2,5,3210,CPF,0.1803484561689741
2,5,3210,RF,0.16788617442050346
2,5,3210,LR,0.2116459275224971
2,5,3210,XGB,0.052067200477804
2,5,3410,CPF,0.1835362720300192
2,5,3410,RF,0.1688939174452161
2,5,3410,LR,0.21298632750802227
2,5,3410,XGB,0.04662936908304971
2,5,3610,CPF,0.18102585256103843
2,5,3610,RF,0.17011191910730805
2,5,3610,LR,0.21291618251734268
2,5,3610,XGB,0.05309106072559655
2,5,3810,CPF,0.18590089052681424
2,5,3810,RF,0.1700662407850687
2,5,3810,LR,0.2135545594301268
2,5,3810,XGB,0.06624665047276868
2,5,4010,CPF,0.18137379124942732
2,5,4010,RF,0.1726724404300901
2,5,4010,LR,0.2134188086608908
2,5,4010,XGB,0.04143326151677784
2,5,4210,CPF,0.1810062539207382
2,5,4210,RF,0.1652562549873019
2,5,4210,LR,0.2139013943184841
2,5,4210,XGB,0.0590609456808997
2,5,4410,CPF,0.18166952399015135
2,5,4410,RF,0.1700172598893115
2,5,4410,LR,0.21401400263485748
2,5,4410,XGB,0.0727283220513919
2,5,4610,CPF,0.18590310548538935
2,5,4610,RF,0.17459805638657389
2,5,4610,LR,0.21413519637479972
2,5,4610,XGB,0.07380825283723302
2,5,4810,CPF,0.17384637755810683
2,5,4810,RF,0.1693562804028973
2,5,4810,LR,0.2136412700949205
2,5,4810,XGB,0.07362955756283318
2,5,5010,CPF,0.17728337389929738
2,5,5010,RF,0.17282801040218243
2,5,5010,LR,0.21389457737908169
2,5,5010,XGB,0.0577886886078266
2,5,5210,CPF,0.1817561566787308
2,5,5210,RF,0.18187212566825695
2,5,5210,LR,0.21507941872019465
2,5,5210,XGB,0.09626179083420894
2,5,5410,CPF,0.17510572739454333
2,5,5410,RF,0.16738262056071307
2,5,5410,LR,0.2156436397803424
2,5,5410,XGB,0.07706236527080734
2,5,5610,CPF,0.18132763979011768
2,5,5610,RF,0.17158512555977667
2,5,5610,LR,0.21534380415304066
2,5,5610,XGB,0.08202222184353991
2,5,5810,CPF,0.17952947279798392
2,5,5810,RF,0.1799744243487933
2,5,5810,LR,0.21599084661803447
2,5,5810,XGB,0.048055868669926505
2,5,6010,CPF,0.17719571055493177
2,5,6010,RF,0.16907849807679576
2,5,6010,LR,0.21696210046432174
2,5,6010,XGB,0.07997394324029727
3,5,10,CPF,-0.7576602809214861
3,5,10,RF,-0.6005068228235044
3,5,10,LR,-1.1220233291951347
3,5,10,XGB,-0.9641654528502726
3,5,210,CPF,0.06498072490662232
3,5,210,RF,0.05715725784915304
3,5,210,LR,0.13920785613017128
3,5,210,XGB,-0.11225349206481794
3,5,410,CPF,0.11030541963020601
3,5,410,RF,0.11852962802526668
3,5,410,LR,0.17246895655533634
3,5,410,XGB,-0.023440237469147585
3,5,610,CPF,0.1286094259213224
3,5,610,RF,0.11609500583232346
3,5,610,LR,0.18938098971923556
3,5,610,XGB,-0.01712754262883509
3,5,810,CPF,0.12765195024691056
3,5,810,RF,0.11804886584718
3,5,810,LR,0.19314866822011467
3,5,810,XGB,-0.030022908729041786
3,5,1010,CPF,0.1510542523702616
3,5,1010,RF,0.132168709731878
3,5,1010,LR,0.19603508495234245
3,5,1010,XGB,0.02456193121161554
3,5,1210,CPF,0.14586212171386892
3,5,1210,RF,0.1231111423222806
3,5,1210,LR,0.19629432618264242
3,5,1210,XGB,-0.030201106727667293
3,5,1410,CPF,0.1486938845910487
3,5,1410,RF,0.12761115472647588
3,5,1410,LR,0.1992017634074642
3,5,1410,XGB,-0.03254341684409967
3,5,1610,CPF,0.16977115866911563
3,5,1610,RF,0.14439644558245868
3,5,1610,LR,0.20357286181067724
3,5,1610,XGB,-0.008761870877472822
3,5,1810,CPF,0.1693992323896354
3,5,1810,RF,0.12582435058910435
3,5,1810,LR,0.20194152894707806
3,5,1810,XGB,0.024296352372321528
3,5,2010,CPF,0.1625476205092773
3,5,2010,RF,0.13324700342509066
3,5,2010,LR,0.20257124436468577
3,5,2010,XGB,-0.0016255565652374404
3,5,2210,CPF,0.17056813437592222
3,5,2210,RF,0.1389051141198051
3,5,2210,LR,0.20269119977615857
3,5,2210,XGB,-0.0007362218267248366
3,5,2410,CPF,0.17068998400153435
3,5,2410,RF,0.14202892528619848
3,5,2410,LR,0.20309618630415294
3,5,2410,XGB,0.009892940578614895
3,5,2610,CPF,0.183077616233837
3,5,2610,RF,0.15205143099110474
3,5,2610,LR,0.20333460505853895
3,5,2610,XGB,0.015621271563163397
3,5,2810,CPF,0.17551552838888052
3,5,2810,RF,0.14788087572280184
3,5,2810,LR,0.2034768756536064
3,5,2810,XGB,0.007884345962215655
3,5,3010,CPF,0.17377081132066463
3,5,3010,RF,0.1466083382150758
3,5,3010,LR,0.20445809301334839
3,5,3010,XGB,-0.015940554934980034
3,5,3210,CPF,0.1774887030182709
3,5,3210,RF,0.14413928971704237
3,5,3210,LR,0.20488823171369475
3,5,3210,XGB,0.01666471664389202
3,5,3410,CPF,0.17788031903677415
3,5,3410,RF,0.1402640519528353
3,5,3410,LR,0.205009006516219
3,5,3410,XGB,0.010936353250719177
3,5,3610,CPF,0.17663153322378544
3,5,3610,RF,0.14552068231421078
3,5,3610,LR,0.20552922993294653
3,5,3610,XGB,0.025883837998327275
3,5,3810,CPF,0.1843402557922884
3,5,3810,RF,0.14692623479588385
3,5,3810,LR,0.20569310170400268
3,5,3810,XGB,0.017398696883179854
3,5,4010,CPF,0.18218662455978918
3,5,4010,RF,0.14689963494018232
3,5,4010,LR,0.20720799428279957
3,5,4010,XGB,0.012094073357655
3,5,4210,CPF,0.17866068713108807
3,5,4210,RF,0.158280404930506
3,5,4210,LR,0.20705859870362053
3,5,4210,XGB,-0.009293481395536318
3,5,4410,CPF,0.1810598970401629
3,5,4410,RF,0.1502985178907459
3,5,4410,LR,0.20772274048048356
3,5,4410,XGB,0.03626672578922541
3,5,4610,CPF,0.1867956692777274
3,5,4610,RF,0.15288771905609122
3,5,4610,LR,0.20866577761562688
3,5,4610,XGB,0.043559124047939046
3,5,4810,CPF,0.18934808123372204
3,5,4810,RF,0.1551112787340463
3,5,4810,LR,0.20859847674817855
3,5,4810,XGB,0.02302532643909949
3,5,5010,CPF,0.1830591437745216
3,5,5010,RF,0.15674170025282552
3,5,5010,LR,0.20892145437372367
3,5,5010,XGB,0.0346494317000805
3,5,5210,CPF,0.18674374227115764
3,5,5210,RF,0.15649119010707313
3,5,5210,LR,0.20928852767476158
3,5,5210,XGB,0.04727632699677098
3,5,5410,CPF,0.18726887090301925
3,5,5410,RF,0.16295900413259834
3,5,5410,LR,0.20904484514431954
3,5,5410,XGB,0.0303320682197461
3,5,5610,CPF,0.19047337051981683
3,5,5610,RF,0.1639082686194896
3,5,5610,LR,0.20933193147938578
3,5,5610,XGB,0.04983253133052279
3,5,5810,CPF,0.18788388180425275
3,5,5810,RF,0.16131935219114324
3,5,5810,LR,0.20937565046676754
3,5,5810,XGB,0.06789130380316011
3,5,6010,CPF,0.1891262421837726
3,5,6010,RF,0.1688426396558964
3,5,6010,LR,0.20962213665394713
3,5,6010,XGB,0.0475202339720201
4,5,10,CPF,-0.3343621152928613
4,5,10,RF,-0.3377201226571154
4,5,10,LR,-0.7815291980075088
4,5,10,XGB,-0.8466807763564024
4,5,210,CPF,0.013343607765721743
4,5,210,RF,0.022010570339305202
4,5,210,LR,-0.010489349157220884
4,5,210,XGB,-0.1098681385717859
4,5,410,CPF,0.025866407327330143
4,5,410,RF,0.01874557533789145
4,5,410,LR,0.09738165619250527
4,5,410,XGB,-0.12804879916184064
4,5,610,CPF,0.07059287987898732
4,5,610,RF,0.05901614263630739
4,5,610,LR,0.13017246807087846
4,5,610,XGB,-0.08819031130634891
4,5,810,CPF,0.09540223735537601
4,5,810,RF,0.08105540136208089
4,5,810,LR,0.14190465663291063
4,5,810,XGB,-0.08799978081604798
4,5,1010,CPF,0.10131109199314003
4,5,1010,RF,0.08015745085145254
4,5,1010,LR,0.16105237579944565
4,5,1010,XGB,-0.08322757417222526
4,5,1210,CPF,0.12251992527281841
4,5,1210,RF,0.11398007280959599
4,5,1210,LR,0.1714491713163775
4,5,1210,XGB,-0.052792621980106924
4,5,1410,CPF,0.12808169142719072
4,5,1410,RF,0.09914662874544944
4,5,1410,LR,0.17504696291552624
4,5,1410,XGB,-0.04449168842753193
4,5,1610,CPF,0.14086710601056873
4,5,1610,RF,0.10551999988769567
4,5,1610,LR,0.1789437564513504
4,5,1610,XGB,-0.0365965700470301
4,5,1810,CPF,0.1396207948284578
4,5,1810,RF,0.10978773719048596
4,5,1810,LR,0.18059692091595114
4,5,1810,XGB,-0.021030733081283115
4,5,2010,CPF,0.13869009655528108
4,5,2010,RF,0.11131979794919233
4,5,2010,LR,0.17583557090918023
4,5,2010,XGB,-0.0038989965183462427
4,5,2210,CPF,0.13820191198931941
4,5,2210,RF,0.11441197447408369
4,5,2210,LR,0.18021977232463005
4,5,2210,XGB,-0.007837536591417837
4,5,2410,CPF,0.1283461996351829
4,5,2410,RF,0.10811324037561887
4,5,2410,LR,0.17658827583066705
4,5,2410,XGB,-0.03881622881746427
4,5,2610,CPF,0.13213549241212164
4,5,2610,RF,0.09660210586760298
4,5,2610,LR,0.17829225424119777
4,5,2610,XGB,-0.051728575885936046
4,5,2810,CPF,0.1388936642666878
4,5,2810,RF,0.10580377155946807
4,5,2810,LR,0.18018307856711036
4,5,2810,XGB,-0.05271603466825492
4,5,3010,CPF,0.14682388948610914
4,5,3010,RF,0.11011500393252727
