id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,mse,mae,fit_duration,predict_duration,max_depth,df_setting,alpha
pmlb_574,house_16H,22784,16,0,0,2,CPILOT - df alpha = 0.01 - max_depth = 20,0.19738723714208106,2259264280.795714,9627.299206799158,8.401112794876099,0.005742073059082031,20.0,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_574,house_16H,22784,16,0,0,2,CPILOT - df alpha = 0.01 - max_depth = None,0.1825065337406211,2301151780.2522674,11350.185758758224,11.271530151367188,0.023888111114501953,,"{'con': 1.0, 'lin': 1.01, 'pcon': 1.04, 'blin': 1.04, 'plin': 1.06, 'pconc': 1.04}",0.01
pmlb_574,house_16H,22784,16,0,0,2,CPILOT - default df - max_depth = 6,0.48959986290433755,1436718741.6101384,11328.454398978767,2.602980136871338,0.0006070137023925781,6.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_574,house_16H,22784,16,0,0,2,CPILOT - default df - max_depth = 20,0.5150758083211062,1365006832.5013673,9102.278056987561,6.414742946624756,0.0012209415435791016,20.0,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_574,house_16H,22784,16,0,0,2,CPILOT - default df - max_depth = None,0.5150758083211062,1365006832.5013673,9102.278056987561,6.394726753234863,0.0010471343994140625,,"{'con': 1, 'lin': 2, 'pcon': 5, 'blin': 5, 'plin': 7, 'pconc': 5}",1.0
pmlb_574,house_16H,22784,16,0,0,2,CPILOT - df alpha = 0.5 - max_depth = 6,0.4811277836319179,1460566687.9299703,11729.323075516106,2.468940019607544,0.0004780292510986328,6.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_574,house_16H,22784,16,0,0,2,CPILOT - df alpha = 0.5 - max_depth = 20,0.31265482464230776,1934799040.2412763,8825.422852393502,8.36050796508789,0.0026731491088867188,20.0,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_574,house_16H,22784,16,0,0,2,CPILOT - df alpha = 0.5 - max_depth = None,0.3111521091121954,1939029014.7426672,8988.973771195291,8.914990186691284,0.003098011016845703,,"{'con': 1.0, 'lin': 1.5, 'pcon': 3.0, 'blin': 3.0, 'plin': 4.0, 'pconc': 3.0}",0.5
pmlb_574,house_16H,22784,16,0,0,3,CART - max_depth = 6,0.39841186908270465,1501904372.071702,10782.257901390643,0.08472299575805664,0.0006101131439208984,6.0,,
pmlb_574,house_16H,22784,16,0,0,3,CART - max_depth = 20,0.01775630764370595,2452236040.19638,9016.666666666668,0.1864640712738037,0.0010750293731689453,20.0,,
pmlb_574,house_16H,22784,16,0,0,3,CART - max_depth = None,0.012198696587326752,2466110982.062541,9800.0,0.19624710083007812,0.0012979507446289062,,,
